epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.1077,2.20483,3.16766,1.91747,0.131,0.2442,0.11855,0.04429,2.54164,6.21128,2.11617,0.000545918,0.000545918,0.000545918
2,80.2977,1.94472,1.83912,1.66067,0.13949,0.19337,0.11295,0.0427,2.76642,4.44818,2.39058,0.00109068,0.00109068,0.00109068
3,110.518,1.96165,1.82751,1.66301,0.66072,0.18177,0.12324,0.04407,2.7187,5.84074,2.35586,0.00162444,0.00162444,0.00162444
4,141.564,1.9111,1.76173,1.60531,0.19769,0.1989,0.19144,0.07025,2.60515,3.1908,2.31295,0.00161749,0.00161749,0.00161749
5,171.601,1.88488,1.66675,1.60414,0.22483,0.23854,0.19646,0.08114,2.54277,3.05902,2.15757,0.00160099,0.00160099,0.00160099
6,200.814,1.8575,1.65599,1.5797,0.2618,0.27539,0.24991,0.09075,2.52977,2.4728,2.06245,0.00158448,0.00158448,0.00158448
7,234.128,1.81646,1.61259,1.5537,0.26748,0.26133,0.28495,0.10718,2.40306,2.42607,2.00786,0.00156798,0.00156798,0.00156798
8,265.311,1.8074,1.58265,1.53913,0.2803,0.2337,0.28922,0.11568,2.46128,2.24745,1.9925,0.00155148,0.00155148,0.00155148
9,294.702,1.8055,1.55705,1.53388,0.58708,0.32078,0.31748,0.12479,2.30165,2.15366,1.90389,0.00153497,0.00153497,0.00153497
10,324.269,1.77946,1.54182,1.53012,0.26058,0.26879,0.28708,0.12056,2.37659,2.28782,1.97657,0.00151847,0.00151847,0.00151847
11,355.693,1.7671,1.46179,1.51727,0.33442,0.33498,0.30163,0.10303,2.40944,2.1731,1.97732,0.00150197,0.00150197,0.00150197
12,385.643,1.75124,1.49034,1.54294,0.3474,0.33736,0.31652,0.11926,2.42084,2.29409,1.98848,0.00148546,0.00148546,0.00148546
13,417.38,1.73704,1.44656,1.5127,0.34257,0.3912,0.32697,0.12458,2.39776,2.15991,1.98029,0.00146896,0.00146896,0.00146896
14,448.096,1.74847,1.44614,1.51484,0.36499,0.28083,0.29065,0.11096,2.45424,2.5511,1.98282,0.00145246,0.00145246,0.00145246
15,478.315,1.74541,1.42844,1.51259,0.34077,0.31296,0.30522,0.12501,2.41703,2.1741,1.99978,0.00143595,0.00143595,0.00143595
16,506.924,1.72935,1.40307,1.48244,0.41457,0.3507,0.33164,0.14419,2.29867,2.40313,1.93926,0.00141945,0.00141945,0.00141945
17,538.275,1.71025,1.39048,1.50096,0.3796,0.35576,0.33227,0.12784,2.3808,2.38071,1.9515,0.00140295,0.00140295,0.00140295
18,568.946,1.6943,1.34792,1.46814,0.32939,0.39519,0.31921,0.11673,2.48017,2.12206,1.97404,0.00138644,0.00138644,0.00138644
19,598.921,1.70094,1.33611,1.4723,0.55404,0.29235,0.31632,0.12777,2.35368,2.18119,1.99784,0.00136994,0.00136994,0.00136994
20,630.174,1.6939,1.35563,1.49838,0.30198,0.30395,0.29292,0.11209,2.4683,2.27557,2.03788,0.00135344,0.00135344,0.00135344
21,659.811,1.68991,1.37086,1.479,0.32284,0.3204,0.31282,0.10612,2.51026,1.93418,2.03569,0.00133693,0.00133693,0.00133693
22,688.373,1.69489,1.30802,1.45573,0.33914,0.32393,0.32783,0.13028,2.35659,2.03482,1.96377,0.00132043,0.00132043,0.00132043
23,719.565,1.64935,1.28965,1.44133,0.35064,0.40361,0.34396,0.13068,2.36481,1.98264,1.96276,0.00130393,0.00130393,0.00130393
24,749.887,1.64747,1.23862,1.44204,0.34421,0.33697,0.31957,0.12433,2.26862,2.13819,1.91881,0.00128742,0.00128742,0.00128742
25,781.532,1.65736,1.23797,1.45391,0.33136,0.38523,0.34075,0.14122,2.23035,1.87008,1.85778,0.00127092,0.00127092,0.00127092
26,812.188,1.66499,1.2709,1.45489,0.36232,0.32647,0.32606,0.13456,2.3292,2.11983,1.93257,0.00125442,0.00125442,0.00125442
27,842.621,1.64782,1.26767,1.44268,0.33018,0.35894,0.32776,0.13469,2.32744,2.04863,1.95865,0.00123791,0.00123791,0.00123791
28,871.704,1.61672,1.22463,1.42275,0.32967,0.37688,0.34233,0.1492,2.25588,1.95414,1.85994,0.00122141,0.00122141,0.00122141
29,901.315,1.62003,1.22643,1.4214,0.33382,0.35477,0.31314,0.10327,2.52758,1.98462,2.11465,0.00120491,0.00120491,0.00120491
30,932.34,1.62543,1.23842,1.43708,0.29002,0.42044,0.31543,0.12232,2.42492,2.01444,2.02427,0.0011884,0.0011884,0.0011884
31,966.476,1.62094,1.20496,1.41326,0.33831,0.39114,0.34562,0.1309,2.4566,2.00132,2.02065,0.0011719,0.0011719,0.0011719
32,994.462,1.60039,1.16846,1.39979,0.31896,0.40266,0.34698,0.15459,2.22363,2.03962,1.84851,0.0011554,0.0011554,0.0011554
33,1024.32,1.58795,1.13557,1.39526,0.45949,0.33995,0.35072,0.1528,2.27072,2.05083,1.92091,0.00113889,0.00113889,0.00113889
34,1055.09,1.56147,1.14022,1.39274,0.30045,0.44037,0.34494,0.14601,2.31982,2.15874,1.92378,0.00112239,0.00112239,0.00112239
35,1083.79,1.56174,1.14134,1.40581,0.39039,0.36863,0.33958,0.13429,2.41196,2.07376,2.00521,0.00110589,0.00110589,0.00110589
36,1113.51,1.56851,1.14458,1.39392,0.37847,0.35027,0.33105,0.13623,2.36688,2.12806,1.95869,0.00108938,0.00108938,0.00108938
37,1145.53,1.53741,1.11637,1.36496,0.35297,0.35146,0.32918,0.12171,2.45097,2.10579,2.03844,0.00107288,0.00107288,0.00107288
38,1176.05,1.53462,1.1011,1.3754,0.31797,0.36811,0.32078,0.13237,2.40332,2.52213,2.02883,0.00105638,0.00105638,0.00105638
39,1205.31,1.52899,1.09858,1.36746,0.38148,0.37166,0.31908,0.13809,2.28381,2.29156,1.91074,0.00103987,0.00103987,0.00103987
40,1236.49,1.53121,1.10667,1.38549,0.3137,0.36353,0.30634,0.1167,2.42644,2.12619,2.06731,0.00102337,0.00102337,0.00102337
41,1265.5,1.50328,1.08818,1.37691,0.37436,0.36948,0.32537,0.12443,2.43579,2.12886,2.02675,0.00100687,0.00100687,0.00100687
42,1294.2,1.50593,1.07696,1.35176,0.36592,0.347,0.34367,0.15036,2.28846,2.2822,1.92691,0.000990365,0.000990365,0.000990365
43,1324.58,1.49353,1.042,1.34752,0.32386,0.35015,0.31867,0.14467,2.25094,2.24095,1.96702,0.000973861,0.000973861,0.000973861
44,1358.04,1.48453,1.0425,1.34088,0.34868,0.38389,0.34462,0.13909,2.36661,2.18438,2.01731,0.000957358,0.000957358,0.000957358
45,1386.63,1.47582,1.03103,1.33572,0.34131,0.36469,0.33261,0.13225,2.3602,2.11701,2.02347,0.000940855,0.000940855,0.000940855
46,1416.44,1.50354,1.04105,1.3598,0.33795,0.36117,0.33101,0.14166,2.2906,2.08374,1.97535,0.000924352,0.000924352,0.000924352
47,1446.89,1.46764,1.02181,1.32405,0.37944,0.33217,0.32128,0.14341,2.29059,2.09202,1.93661,0.000907848,0.000907848,0.000907848
48,1474.8,1.46033,0.99396,1.33867,0.30275,0.44087,0.33785,0.13656,2.37341,2.20605,1.96697,0.000891345,0.000891345,0.000891345
49,1505.88,1.4444,0.99492,1.31888,0.32502,0.36345,0.32452,0.14087,2.37343,2.16884,2.00926,0.000874842,0.000874842,0.000874842
50,1537.06,1.43191,0.98109,1.30615,0.35984,0.39864,0.33292,0.14169,2.40228,2.05928,2.06187,0.000858338,0.000858338,0.000858338
51,1566.57,1.4559,1.01992,1.33454,0.35499,0.36812,0.33766,0.14981,2.35204,2.48643,1.97458,0.000841835,0.000841835,0.000841835
52,1596.75,1.42223,0.9734,1.29902,0.50088,0.3456,0.34343,0.14502,2.30587,2.14945,1.97608,0.000825332,0.000825332,0.000825332
53,1623.71,1.41784,0.97073,1.29128,0.40276,0.35184,0.33521,0.14505,2.37049,2.1212,2.01227,0.000808828,0.000808828,0.000808828
54,1653.77,1.41535,0.96663,1.29734,0.41487,0.31517,0.33348,0.14536,2.38824,2.19152,2.07532,0.000792325,0.000792325,0.000792325
55,1683.69,1.39272,0.94434,1.28617,0.4096,0.35881,0.35012,0.14702,2.32019,2.26296,1.97827,0.000775822,0.000775822,0.000775822
56,1716.64,1.38717,0.94164,1.28285,0.39238,0.35096,0.32634,0.13166,2.37543,2.35192,2.02887,0.000759318,0.000759318,0.000759318
57,1744.57,1.4011,0.95332,1.28133,0.35961,0.3524,0.32346,0.13196,2.40183,2.25272,2.02775,0.000742815,0.000742815,0.000742815
58,1775.23,1.36509,0.92427,1.27529,0.39339,0.36804,0.34337,0.14807,2.32107,2.35916,2.0037,0.000726312,0.000726312,0.000726312
59,1804.14,1.34807,0.89935,1.27162,0.4719,0.32059,0.35423,0.15761,2.30152,2.17355,1.94927,0.000709809,0.000709809,0.000709809
60,1832.52,1.33336,0.8764,1.25618,0.37142,0.33922,0.32911,0.13733,2.44001,2.31143,2.05782,0.000693305,0.000693305,0.000693305
61,1862.49,1.3355,0.89012,1.24716,0.33129,0.40824,0.33976,0.15566,2.31475,2.18694,2.00294,0.000676802,0.000676802,0.000676802
62,1891.11,1.33565,0.89174,1.25298,0.37367,0.32919,0.32628,0.14144,2.34857,2.33852,1.99385,0.000660299,0.000660299,0.000660299
63,1922.45,1.3176,0.87031,1.24018,0.42111,0.36812,0.34391,0.15353,2.35455,2.1419,2.02827,0.000643795,0.000643795,0.000643795
64,1952.89,1.32783,0.87405,1.24413,0.36269,0.37292,0.33057,0.15211,2.31838,2.33936,1.9652,0.000627292,0.000627292,0.000627292
65,1980.4,1.32268,0.86414,1.24527,0.35281,0.32677,0.2874,0.12217,2.41745,2.36198,2.09028,0.000610789,0.000610789,0.000610789
66,2009.74,1.31484,0.85217,1.2454,0.38664,0.31759,0.30866,0.13025,2.4237,2.4496,2.07934,0.000594286,0.000594286,0.000594286
67,2040.35,1.31108,0.86134,1.24129,0.37352,0.36574,0.32065,0.14162,2.38941,2.40351,2.06704,0.000577782,0.000577782,0.000577782
