epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.1062,3.87631,2.74722,2.01731,0.01362,0.01203,0.00983,0.00344,4.29054,3.17112,1.90648,0.00065,0.00065,0.00065
2,63.0419,4.02705,2.52993,1.56164,0.00779,0.00708,0.00867,0.00305,4.47441,inf,2.24633,0.00130798,0.00130798,0.00130798
3,88.4871,3.9886,2.5554,1.50378,0.00192,0.00073,0.00096,0.00039,nan,nan,nan,0.00195715,0.00195715,0.00195715
4,114.248,4.01728,2.57212,1.47167,0.01301,0.01306,0.01155,0.00628,4.12396,3.39743,2.24996,0.0019604,0.0019604,0.0019604
5,141.933,4.02696,2.5382,1.43017,0.0165,0.01655,0.0124,0.00435,4.14692,2.68997,1.35918,0.0019472,0.0019472,0.0019472
6,168.401,4.01173,2.52459,1.38955,0.01682,0.01687,0.01351,0.00598,4.06713,2.724,1.4031,0.001934,0.001934,0.001934
7,195.681,3.95969,2.49776,1.39173,0.01592,0.01597,0.01313,0.00562,4.0877,2.66801,1.40301,0.0019208,0.0019208,0.0019208
8,223.108,4.01867,2.51587,1.37945,0.01357,0.01361,0.01189,0.00635,4.06409,2.71509,1.46756,0.0019076,0.0019076,0.0019076
9,249.589,3.93335,2.48809,1.37084,0.02661,0.00937,0.01192,0.00515,4.06348,2.95531,1.78652,0.0018944,0.0018944,0.0018944
10,276.379,3.97322,2.47609,1.35736,0.01904,0.0191,0.01476,0.00606,4.02588,2.52733,1.36995,0.0018812,0.0018812,0.0018812
11,302.852,3.96751,2.48106,1.35724,0.02032,0.00866,0.01076,0.0061,4.09007,2.7547,1.46239,0.001868,0.001868,0.001868
12,330.315,3.95557,2.49193,1.35976,0.01968,0.01975,0.01519,0.00608,4.04498,2.50526,1.31204,0.0018548,0.0018548,0.0018548
13,356.341,3.88407,2.45412,1.35297,0.01835,0.01842,0.01446,0.00654,4.04208,2.56264,1.29142,0.0018416,0.0018416,0.0018416
14,384.04,3.89567,2.44549,1.35381,0.01756,0.01762,0.01404,0.00598,4.03583,2.53324,1.3107,0.0018284,0.0018284,0.0018284
15,411.011,3.91508,2.44754,1.33859,0.01647,0.01653,0.01097,0.00426,4.0586,2.69352,1.50585,0.0018152,0.0018152,0.0018152
16,437.991,3.95704,2.45235,1.34171,0.01746,0.01752,0.01405,0.00559,4.03786,2.64424,1.38406,0.001802,0.001802,0.001802
17,465.119,3.9033,2.43602,1.34811,0.02002,0.02009,0.01539,0.0057,4.01337,2.47876,1.34918,0.0017888,0.0017888,0.0017888
18,491.27,3.9052,2.43181,1.33957,0.01949,0.01955,0.01512,0.00591,4.032,2.50988,1.33929,0.0017756,0.0017756,0.0017756
19,518.707,3.89923,2.45314,1.35013,0.01456,0.0146,0.01238,0.00526,4.05616,2.68013,1.32763,0.0017624,0.0017624,0.0017624
20,544.641,3.89774,2.45088,1.34716,0.01705,0.01711,0.01344,0.006,4.02937,2.48896,1.31935,0.0017492,0.0017492,0.0017492
21,572.499,3.9403,2.47513,1.35467,0.01754,0.0176,0.01411,0.00627,4.00681,2.47744,1.34545,0.001736,0.001736,0.001736
22,599.235,3.92146,2.45683,1.33618,0.02045,0.02052,0.01568,0.00656,4.03062,2.4941,1.32207,0.0017228,0.0017228,0.0017228
23,625.692,3.86013,2.42549,1.34056,0.01983,0.0199,0.01532,0.00719,4.02825,2.5255,1.31895,0.0017096,0.0017096,0.0017096
24,652.67,3.88861,2.42997,1.33519,0.01895,0.01902,0.01482,0.00644,3.99357,2.48944,1.35255,0.0016964,0.0016964,0.0016964
25,680.185,3.88109,2.42886,1.33775,0.01509,0.01514,0.01244,0.00498,4.06828,2.57697,1.29726,0.0016832,0.0016832,0.0016832
26,707.017,3.84372,2.40704,1.33829,0.01543,0.01548,0.01291,0.00598,4.00092,2.47052,1.34263,0.00167,0.00167,0.00167
27,732.552,3.86962,2.42419,1.34089,0.01878,0.01885,0.01479,0.00679,3.99732,2.48581,1.34068,0.0016568,0.0016568,0.0016568
28,760.023,3.88826,2.42018,1.34154,0.01964,0.0197,0.01517,0.00549,4.02681,2.49536,1.31878,0.0016436,0.0016436,0.0016436
29,786.313,3.84687,2.40353,1.3403,0.01556,0.01561,0.01293,0.0062,4.04404,2.52005,1.29001,0.0016304,0.0016304,0.0016304
30,813.764,3.90944,2.42323,1.32929,0.01991,0.01987,0.01539,0.00632,4.00809,2.49465,1.33682,0.0016172,0.0016172,0.0016172
31,841.049,3.81701,2.39108,1.33871,0.01825,0.01831,0.01446,0.00744,4.04408,2.49192,1.29356,0.001604,0.001604,0.001604
32,867.604,3.81691,2.39435,1.32152,0.0175,0.01756,0.01407,0.00617,3.99466,2.50238,1.33509,0.0015908,0.0015908,0.0015908
33,894.546,3.84531,2.38279,1.33572,0.01908,0.01915,0.01496,0.00641,4.02124,2.50191,1.33904,0.0015776,0.0015776,0.0015776
34,920.632,3.83612,2.38516,1.32492,0.0175,0.01756,0.01406,0.0059,4.03237,2.49552,1.29327,0.0015644,0.0015644,0.0015644
35,948.222,3.83265,2.37005,1.32874,0.01434,0.01439,0.01239,0.00575,4.01934,2.50573,1.29641,0.0015512,0.0015512,0.0015512
36,975.15,3.81181,2.3519,1.31687,0.02035,0.02041,0.01571,0.00744,4.00135,2.45342,1.29526,0.001538,0.001538,0.001538
37,1001.8,3.80429,2.37681,1.3178,0.01831,0.01837,0.01447,0.00637,4.00167,2.52334,1.31503,0.0015248,0.0015248,0.0015248
38,1028.61,3.85014,2.3764,1.3195,0.01951,0.01957,0.01515,0.00762,4.00899,2.47556,1.29814,0.0015116,0.0015116,0.0015116
39,1055.35,3.86598,2.39522,1.32212,0.01885,0.01887,0.01477,0.00704,4.01014,2.51382,1.32023,0.0014984,0.0014984,0.0014984
40,1082.46,3.84227,2.37691,1.32374,0.02021,0.02011,0.01549,0.00648,3.99345,2.48421,1.32561,0.0014852,0.0014852,0.0014852
41,1108.8,3.78162,2.34506,1.32117,0.0209,0.02097,0.01587,0.0069,3.99904,2.48856,1.34979,0.001472,0.001472,0.001472
42,1136.27,3.85467,2.39881,1.31428,0.0203,0.02037,0.01562,0.00709,3.99196,2.5017,1.31447,0.0014588,0.0014588,0.0014588
