epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.2859,2.1608,2.74502,1.75847,0.12085,0.1989,0.1161,0.04529,2.09774,2.6565,1.50273,0.000545918,0.000545918,0.000545918
2,53.8573,1.94164,1.87281,1.53204,0.20861,0.24713,0.20721,0.08008,2.1535,3.17558,1.65521,0.00109068,0.00109068,0.00109068
3,77.9113,1.96003,1.84142,1.51633,0.64503,0.15304,0.11053,0.04008,2.36597,2.88874,1.77836,0.00162444,0.00162444,0.00162444
4,99.891,1.90661,1.76632,1.49987,0.6561,0.19335,0.13882,0.05386,2.15202,2.79891,1.58143,0.00161749,0.00161749,0.00161749
5,121.384,1.8754,1.68726,1.48843,0.23684,0.27871,0.24754,0.1066,2.04344,1.70774,1.49537,0.00160099,0.00160099,0.00160099
6,148.428,1.8679,1.70172,1.47193,0.22152,0.24365,0.2372,0.08738,2.19037,2.12667,1.58916,0.00158448,0.00158448,0.00158448
7,170.479,1.82882,1.62586,1.4414,0.7871,0.2442,0.27659,0.11164,2.0432,2.04153,1.51713,0.00156798,0.00156798,0.00156798
8,192.519,1.83242,1.65649,1.43283,0.76589,0.2466,0.29048,0.1218,1.97763,1.6309,1.47876,0.00155148,0.00155148,0.00155148
9,214.33,1.80722,1.57144,1.41918,0.76929,0.27924,0.29031,0.11856,2.04799,1.52868,1.49553,0.00153497,0.00153497,0.00153497
10,238.521,1.80268,1.57525,1.42468,0.7502,0.27348,0.28266,0.1207,1.97147,1.97999,1.45329,0.00151847,0.00151847,0.00151847
11,260.313,1.77799,1.51552,1.3926,0.37825,0.36192,0.32075,0.11164,2.21797,1.53012,1.57155,0.00150197,0.00150197,0.00150197
12,281.807,1.76692,1.53937,1.41056,0.29591,0.30129,0.2911,0.11057,2.13029,1.71897,1.54087,0.00148546,0.00148546,0.00148546
13,303.872,1.74876,1.51036,1.40219,0.28631,0.37288,0.33641,0.13521,2.07122,1.49528,1.48762,0.00146896,0.00146896,0.00146896
14,327.109,1.75142,1.49669,1.39031,0.32989,0.34075,0.30182,0.10989,2.17688,1.59674,1.54163,0.00145246,0.00145246,0.00145246
15,348.806,1.73982,1.49611,1.39184,0.31644,0.31457,0.29773,0.12819,2.01475,1.56741,1.47116,0.00143595,0.00143595,0.00143595
16,370.232,1.72951,1.44524,1.36659,0.43424,0.37063,0.35484,0.14275,2.02332,1.47972,1.46471,0.00141945,0.00141945,0.00141945
17,393.136,1.71159,1.42244,1.37284,0.4039,0.35401,0.3179,0.1206,2.10786,1.65586,1.5192,0.00140295,0.00140295,0.00140295
18,416.112,1.69357,1.39161,1.35159,0.35293,0.35101,0.32267,0.12673,2.07814,1.45286,1.48367,0.00138644,0.00138644,0.00138644
19,437.641,1.70381,1.38447,1.35374,0.36975,0.32546,0.32154,0.12326,2.06535,1.42923,1.49923,0.00136994,0.00136994,0.00136994
20,461.165,1.68615,1.40606,1.36337,0.29708,0.33973,0.29697,0.11003,2.14097,1.55485,1.52316,0.00135344,0.00135344,0.00135344
21,483.11,1.67513,1.41654,1.34424,0.32717,0.38512,0.32398,0.11224,2.23134,1.54344,1.59887,0.00133693,0.00133693,0.00133693
22,506.448,1.69543,1.35769,1.34432,0.329,0.31951,0.30884,0.12945,2.01016,1.43762,1.46147,0.00132043,0.00132043,0.00132043
23,527.758,1.66335,1.36261,1.3168,0.27157,0.36821,0.31791,0.13359,1.96396,1.4752,1.4517,0.00130393,0.00130393,0.00130393
24,549.518,1.64965,1.29858,1.32059,0.36023,0.38236,0.3397,0.14474,1.98032,1.41941,1.4487,0.00128742,0.00128742,0.00128742
25,571.954,1.63442,1.28695,1.31882,0.30905,0.35104,0.30258,0.13727,1.93232,1.46635,1.43846,0.00127092,0.00127092,0.00127092
26,594.975,1.64657,1.32685,1.32016,0.29922,0.29124,0.30269,0.12454,1.99898,1.54369,1.47264,0.00125442,0.00125442,0.00125442
27,616.791,1.64107,1.31122,1.31756,0.31964,0.38023,0.32625,0.14975,1.86599,1.62779,1.38006,0.00123791,0.00123791,0.00123791
28,638.821,1.61905,1.27653,1.29432,0.36436,0.36464,0.33912,0.15267,1.93499,1.35307,1.41393,0.00122141,0.00122141,0.00122141
29,661.563,1.63145,1.284,1.29636,0.28768,0.38866,0.32313,0.14324,1.94276,1.48639,1.43259,0.00120491,0.00120491,0.00120491
30,685.313,1.62583,1.27671,1.30872,0.27997,0.40713,0.32837,0.14841,1.89109,1.4551,1.40169,0.0011884,0.0011884,0.0011884
31,706.487,1.61415,1.25633,1.28795,0.36747,0.34411,0.34307,0.14525,1.96457,1.37294,1.4272,0.0011719,0.0011719,0.0011719
32,728.306,1.58659,1.20198,1.26624,0.36973,0.35554,0.3388,0.15197,1.87752,1.42689,1.39501,0.0011554,0.0011554,0.0011554
33,750.812,1.57825,1.17133,1.26798,0.37627,0.34687,0.33192,0.14802,1.96008,1.43245,1.43718,0.00113889,0.00113889,0.00113889
34,775.086,1.56589,1.19261,1.26036,0.29575,0.38529,0.33019,0.15066,1.85879,1.42985,1.3748,0.00112239,0.00112239,0.00112239
35,797.288,1.5554,1.1886,1.27131,0.3161,0.37237,0.31346,0.12538,2.03261,1.47329,1.49247,0.00110589,0.00110589,0.00110589
36,819.24,1.55328,1.16758,1.25917,0.32049,0.34687,0.31799,0.14298,1.94322,1.41945,1.43779,0.00108938,0.00108938,0.00108938
37,841.203,1.53225,1.16663,1.23855,0.30491,0.35542,0.31342,0.14093,1.94035,1.52606,1.42439,0.00107288,0.00107288,0.00107288
38,865.321,1.52175,1.12701,1.24162,0.32893,0.30633,0.31052,0.13228,1.9858,1.57889,1.46574,0.00105638,0.00105638,0.00105638
39,888.394,1.51455,1.10646,1.22862,0.30116,0.40731,0.32901,0.14527,1.92735,1.38294,1.4181,0.00103987,0.00103987,0.00103987
40,910.399,1.54031,1.14044,1.25429,0.24004,0.35499,0.29565,0.12458,2.0117,1.47643,1.47054,0.00102337,0.00102337,0.00102337
41,932.273,1.51417,1.13802,1.24723,0.33157,0.39472,0.3269,0.14395,1.96757,1.37139,1.44018,0.00100687,0.00100687,0.00100687
42,955.28,1.52965,1.13447,1.23455,0.28692,0.38555,0.32392,0.15087,1.87951,1.42276,1.38815,0.000990365,0.000990365,0.000990365
43,978.835,1.49379,1.05922,1.21632,0.3355,0.39388,0.34529,0.15453,1.92187,1.35958,1.4208,0.000973861,0.000973861,0.000973861
44,1000.99,1.47307,1.07055,1.21175,0.34535,0.35648,0.33166,0.14148,2.01734,1.38499,1.48101,0.000957358,0.000957358,0.000957358
45,1023.15,1.47892,1.07159,1.21532,0.32673,0.39556,0.33347,0.14189,1.97228,1.41735,1.45097,0.000940855,0.000940855,0.000940855
46,1046.95,1.4808,1.05767,1.22381,0.3367,0.35167,0.32416,0.14411,1.96048,1.43453,1.43845,0.000924352,0.000924352,0.000924352
47,1071.09,1.45012,1.04828,1.19564,0.37446,0.3654,0.3127,0.14452,1.89341,1.43072,1.41132,0.000907848,0.000907848,0.000907848
48,1092.77,1.4492,1.02923,1.20717,0.36698,0.36022,0.33538,0.1383,2.05761,1.40087,1.48883,0.000891345,0.000891345,0.000891345
49,1115.18,1.43175,1.01252,1.18768,0.37735,0.36144,0.33963,0.14797,1.91324,1.36679,1.43171,0.000874842,0.000874842,0.000874842
50,1138.67,1.4171,0.99734,1.18124,0.4947,0.34122,0.31249,0.14735,1.85371,1.48446,1.4053,0.000858338,0.000858338,0.000858338
51,1160.52,1.44791,1.05034,1.20054,0.39055,0.34177,0.32676,0.14582,1.93058,1.44303,1.42581,0.000841835,0.000841835,0.000841835
52,1182.22,1.40633,0.98631,1.173,0.35978,0.39859,0.33341,0.14944,1.94475,1.42106,1.44047,0.000825332,0.000825332,0.000825332
53,1204.99,1.42102,1.00313,1.17256,0.37141,0.38283,0.34179,0.14552,1.98201,1.38866,1.45204,0.000808828,0.000808828,0.000808828
54,1227.98,1.4005,0.98647,1.16797,0.32847,0.40548,0.33577,0.1487,1.89489,1.39939,1.4158,0.000792325,0.000792325,0.000792325
55,1249.64,1.3961,0.96489,1.16868,0.30333,0.38597,0.30247,0.13392,1.95531,1.55819,1.46728,0.000775822,0.000775822,0.000775822
56,1271.07,1.39342,0.97447,1.16839,0.40731,0.37088,0.33006,0.13748,1.97588,1.44376,1.47288,0.000759318,0.000759318,0.000759318
57,1294.73,1.38917,0.97717,1.16133,0.39297,0.32469,0.31514,0.13536,1.98878,1.46983,1.46969,0.000742815,0.000742815,0.000742815
