epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.1481,2.5964,3.42268,1.89221,0.03198,0.42598,0.04663,0.01652,2.42248,3.28948,1.55312,0.0738012,0.00654971,0.00654971
2,24.7751,2.41393,2.40722,1.68722,0.35306,0.11343,0.13842,0.05033,2.55406,2.52927,1.58281,0.0470037,0.0130855,0.0130855
3,37.2068,2.35107,2.22002,1.58893,0.26642,0.25215,0.17714,0.06162,2.65153,2.42581,1.57524,0.0200742,0.0194894,0.0194894
4,45.2436,2.31661,2.10472,1.52471,0.21409,0.15971,0.11319,0.04252,2.54946,2.81856,1.75876,0.019406,0.019406,0.019406
5,55.7936,2.23387,1.96974,1.46864,0.25471,0.19668,0.15049,0.05495,2.52936,2.61438,1.56809,0.019208,0.019208,0.019208
6,64.3881,2.14206,1.85576,1.43718,0.26702,0.20378,0.1735,0.06087,2.63571,2.20393,1.60615,0.01901,0.01901,0.01901
7,73.6572,2.11501,1.79211,1.41935,0.29746,0.2439,0.20963,0.07488,2.55908,2.19423,1.60648,0.018812,0.018812,0.018812
8,83.6593,2.0559,1.71885,1.36794,0.28096,0.26702,0.19081,0.0662,2.62156,2.25289,1.61951,0.018614,0.018614,0.018614
9,91.9671,2.01341,1.64668,1.34877,0.30128,0.25091,0.21205,0.07163,2.57973,2.31854,1.56515,0.018416,0.018416,0.018416
10,102.469,1.96089,1.5713,1.31209,0.34475,0.26849,0.23412,0.08098,2.60774,2.12086,1.61299,0.018218,0.018218,0.018218
11,110.202,1.94963,1.51033,1.30515,0.305,0.24495,0.21784,0.08189,2.59388,2.38075,1.62021,0.01802,0.01802,0.01802
12,120.751,1.93712,1.49253,1.28997,0.4644,0.19107,0.21274,0.08317,2.57799,2.27954,1.61784,0.017822,0.017822,0.017822
13,128.453,1.8934,1.45579,1.27517,0.27271,0.25524,0.20956,0.06143,2.82112,2.27542,1.73414,0.017624,0.017624,0.017624
14,139.35,1.8629,1.3899,1.25372,0.39283,0.22753,0.23175,0.07952,2.61872,2.24371,1.62122,0.017426,0.017426,0.017426
15,147.098,1.82415,1.34764,1.23565,0.34388,0.27177,0.23324,0.08478,2.7071,2.16632,1.77752,0.017228,0.017228,0.017228
16,157.446,1.79776,1.32761,1.23662,0.32487,0.26317,0.24521,0.08981,2.5831,2.20233,1.56882,0.01703,0.01703,0.01703
17,166.28,1.78929,1.29484,1.2221,0.31,0.30943,0.23854,0.08381,2.64186,2.40626,1.62431,0.016832,0.016832,0.016832
18,175.297,1.74487,1.25702,1.20317,0.3225,0.26243,0.22912,0.08377,2.67931,2.53011,1.6735,0.016634,0.016634,0.016634
19,185.349,1.7292,1.22506,1.20143,0.35096,0.26276,0.25989,0.08859,2.63698,1.97819,1.59962,0.016436,0.016436,0.016436
20,193.641,1.71894,1.19839,1.19332,0.36786,0.30097,0.24988,0.08581,2.62323,2.14762,1.63159,0.016238,0.016238,0.016238
21,203.965,1.69565,1.20514,1.18582,0.35608,0.29787,0.25839,0.09841,2.5299,2.38862,1.54682,0.01604,0.01604,0.01604
22,211.676,1.68107,1.1754,1.17196,0.31164,0.26944,0.25283,0.07962,2.73578,2.17157,1.709,0.015842,0.015842,0.015842
23,222.728,1.66331,1.17088,1.17231,0.36374,0.26739,0.24171,0.07884,2.71336,2.21318,1.63983,0.015644,0.015644,0.015644
24,230.453,1.6368,1.13324,1.1601,0.33454,0.25652,0.25164,0.09363,2.62055,2.07551,1.58916,0.015446,0.015446,0.015446
25,240.467,1.65024,1.15816,1.17128,0.27793,0.26718,0.21473,0.0694,2.75365,2.14777,1.67511,0.015248,0.015248,0.015248
26,249.121,1.61283,1.10922,1.13706,0.38597,0.26276,0.25363,0.09468,2.55934,2.00284,1.55382,0.01505,0.01505,0.01505
27,258.748,1.57959,1.08201,1.12836,0.31715,0.28924,0.2385,0.07561,2.71782,2.12449,1.68751,0.014852,0.014852,0.014852
28,268.147,1.57201,1.0636,1.12657,0.3554,0.29561,0.26255,0.08742,2.66657,2.14625,1.63258,0.014654,0.014654,0.014654
29,279.022,1.56514,1.05711,1.1283,0.30537,0.2711,0.23816,0.08147,2.63862,2.14683,1.61456,0.014456,0.014456,0.014456
