epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.4607,2.16237,2.71243,1.7862,0.22449,0.31904,0.2202,0.08682,1.98656,2.69573,1.49914,0.000545918,0.000545918,0.000545918
2,69.2339,1.89527,1.92766,1.55907,0.73349,0.18895,0.19498,0.07613,2.09808,3.16283,1.70076,0.00109068,0.00109068,0.00109068
3,100.398,1.92159,1.85355,1.56151,0.67341,0.22099,0.1522,0.06136,2.10646,3.2277,1.67499,0.00162444,0.00162444,0.00162444
4,134.517,1.89272,1.81334,1.54138,0.6971,0.21657,0.18102,0.06699,2.17433,2.55581,1.69104,0.00161749,0.00161749,0.00161749
5,166.949,1.86255,1.75075,1.54455,0.30232,0.34607,0.30379,0.1286,1.99826,1.86179,1.59051,0.00160099,0.00160099,0.00160099
6,199.149,1.82365,1.69887,1.51799,0.74097,0.24751,0.26,0.09298,2.21985,1.72483,1.7223,0.00158448,0.00158448,0.00158448
7,229.77,1.80514,1.64209,1.48807,0.286,0.27293,0.30441,0.12306,2.05006,1.86587,1.59312,0.00156798,0.00156798,0.00156798
8,260.148,1.80126,1.65235,1.48708,0.79908,0.23315,0.2916,0.13029,1.91813,1.57409,1.51493,0.00155148,0.00155148,0.00155148
9,292.17,1.77644,1.57926,1.46497,0.77707,0.27569,0.29867,0.12722,1.96175,1.57474,1.51917,0.00153497,0.00153497,0.00153497
10,324.351,1.75449,1.57585,1.45707,0.72471,0.24751,0.22944,0.09526,1.9841,2.16003,1.5452,0.00151847,0.00151847,0.00151847
11,356.086,1.73829,1.52595,1.44115,0.36467,0.30183,0.31297,0.10506,2.21491,1.60601,1.70399,0.00150197,0.00150197,0.00150197
12,386.862,1.71051,1.5154,1.44972,0.31916,0.35637,0.31509,0.11456,2.11948,1.5539,1.63614,0.00148546,0.00148546,0.00148546
13,418.332,1.7021,1.50109,1.42208,0.33334,0.27641,0.27185,0.09964,2.19908,1.66219,1.67367,0.00146896,0.00146896,0.00146896
14,449.405,1.72398,1.49155,1.43089,0.36463,0.2929,0.29608,0.10519,2.15033,1.7593,1.63823,0.00145246,0.00145246,0.00145246
15,480.079,1.70891,1.48424,1.43949,0.29312,0.32781,0.29345,0.1066,2.16324,1.63383,1.67518,0.00143595,0.00143595,0.00143595
16,510.088,1.68769,1.42644,1.39771,0.37254,0.34475,0.32229,0.13378,2.03814,1.53401,1.58603,0.00141945,0.00141945,0.00141945
17,542.081,1.65964,1.39336,1.40585,0.39751,0.30768,0.33775,0.14018,2.02479,1.89158,1.5595,0.00140295,0.00140295,0.00140295
18,574.674,1.65874,1.37729,1.39598,0.33127,0.34938,0.32286,0.13055,2.11069,1.52502,1.60543,0.00138644,0.00138644,0.00138644
19,609.125,1.65416,1.34143,1.38918,0.3125,0.33625,0.30946,0.12188,2.06957,1.54465,1.61552,0.00136994,0.00136994,0.00136994
20,639.61,1.62469,1.34847,1.39524,0.64358,0.26122,0.31119,0.12659,2.02337,1.63532,1.55942,0.00135344,0.00135344,0.00135344
21,669.67,1.62807,1.35483,1.37729,0.33651,0.39864,0.32416,0.12209,2.16852,1.58322,1.639,0.00133693,0.00133693,0.00133693
22,701.502,1.62145,1.28684,1.35399,0.32318,0.3784,0.31457,0.12523,2.07872,1.55125,1.5979,0.00132043,0.00132043,0.00132043
23,732.769,1.59553,1.27928,1.34988,0.37422,0.35206,0.31971,0.11099,2.24893,1.62972,1.72954,0.00130393,0.00130393,0.00130393
24,764.742,1.59043,1.2342,1.34129,0.371,0.35597,0.31576,0.12732,2.03274,1.56351,1.58306,0.00128742,0.00128742,0.00128742
25,795.684,1.58663,1.22552,1.35208,0.37026,0.34225,0.3273,0.13511,1.99983,1.52886,1.56688,0.00127092,0.00127092,0.00127092
26,829.157,1.59169,1.22688,1.35328,0.26736,0.37582,0.30702,0.12851,2.00647,1.59648,1.57471,0.00125442,0.00125442,0.00125442
27,860.623,1.57453,1.22033,1.33784,0.37313,0.34411,0.33272,0.14491,1.93988,1.51016,1.52572,0.00123791,0.00123791,0.00123791
28,892.483,1.54039,1.16492,1.3144,0.36474,0.37015,0.33079,0.13903,2.03847,1.43826,1.57358,0.00122141,0.00122141,0.00122141
29,922.79,1.54563,1.17117,1.30766,0.29972,0.3603,0.30714,0.12162,2.07774,1.56052,1.61128,0.00120491,0.00120491,0.00120491
30,952.704,1.5377,1.1647,1.31893,0.3285,0.34619,0.32706,0.13597,2.05662,1.54108,1.60796,0.0011884,0.0011884,0.0011884
31,984.121,1.51031,1.12401,1.29332,0.35475,0.38969,0.33113,0.12744,2.15493,1.54769,1.67821,0.0011719,0.0011719,0.0011719
